 Adam Kinzinger ,R
 Adam Schiff ,D
 Adam Smith ,D
 Adrian Smith ,R
 Adriano Espaillat ,D
 Al Franken ,D
 Al Green ,D
 Al Lawson ,D
 Alan Lowenthal ,D
 Albio Sires ,D
 Alcee Hastings ,D
 Alex Mooney ,R
 Alma Adams ,D
 Amata Coleman Radewagen ,R
 Ami Bera ,D
 Amy Klobuchar ,D
 André Carson ,D
 Andy Barr ,R
 Andy Biggs ,R
 Andy Harris ,R
 Angus King ,I
 Ann McLane Kuster ,D
 Ann Wagner ,R
 Anna Eshoo ,D
 Anthony Brown,D
 Austin Scott ,R
 Barbara Comstock ,R
 Barbara Lee ,D
 Barry Loudermilk ,R
 Ben Cardin ,D
 Ben Ray Luján ,D
 Ben Sasse ,R
 Bennie Thompson ,D
 Bernie Sanders ,I
 Beto O'Rourke ,D
 Betty McCollum ,D
 Bill Cassidy ,R
 Bill Flores ,R
 Bill Foster ,D
 Bill Huizenga ,R
 Bill Johnson ,R
 Bill Keating ,D
 Bill Nelson ,D
 Bill Pascrell ,D
 Bill Posey ,R
 Bill Shuster ,R
 Billy Long ,R
 Blaine Luetkemeyer ,R
 Blake Farenthold ,R
 Bob Brady ,D
 Bob Casey,D
 Bob Corker ,R
 Bob Gibbs ,R
 Bob Goodlatte ,R
 Bob Latta ,R
 Bob Menendez ,D
 Bobby Rush ,D
 Bobby Scott ,D
 Bonnie Watson Coleman ,D
 Brad Schneider ,D
 Brad Sherman ,D
 Brad Wenstrup ,R
 Bradley Byrne ,R
 Brenda Lawrence ,D
 Brendan Boyle ,D
 Brett Guthrie ,R
 Brian Babin ,R
 Brian Fitzpatrick ,R
 Brian Higgins ,D
 Brian Mast ,R
 Brian Schatz ,D
 Bruce Poliquin ,R
 Bruce Westerman ,R
 Buddy Carter ,R
 Carlos Curbelo ,R
 Carol Shea-Porter ,D
 Carolyn Maloney ,D
 Catherine Cortez Masto ,D
 Cathy McMorris Rodgers ,R
 Cedric Richmond ,D
 Charlie Crist ,D
 Charlie Dent ,R
 Chellie Pingree ,D
 Cheri Bustos ,D
 Chris Collins ,R
 Chris Coons ,D
 Chris Murphy ,D
 Chris Smith ,R
 Chris Stewart ,R
 Chris Van Hollen ,D
 Chuck Fleischmann ,R
 Chuck Grassley ,R
 Chuck Schumer ,D
 Claire McCaskill ,D
 Claudia Tenney ,R
 Clay Higgins ,R
 Colleen Hanabusa ,D
 Collin Peterson ,D
 Cory Booker ,D
 Cory Gardner ,R
 Dan Donovan ,R
 Dan Kildee ,D
 Dan Lipinski ,D
 Dan Newhouse ,R
 Dan Sullivan ,R
 Dana Rohrabacher ,R
 Daniel Webster ,R
 Danny Davis,D
 Darin LaHood ,R
 Darrell Issa ,R
 Darren Soto ,D
 Dave Brat ,R
 Dave Loebsack ,D
 Dave Reichert ,R
 Dave Trott ,R
 David Cicilline ,D
 David Joyce ,R
 David Kustoff ,R
 David McKinley ,R
 David Perdue ,R
 David Price ,D
 David Rouzer ,R
 David Schweikert ,R
 David Scott ,D
 David Valadao ,R
 David Young ,R
 Dean Heller ,R
 Deb Fischer ,R
 Debbie Dingell ,D
 Debbie Stabenow ,D
 Debbie Wasserman Schultz ,D
 Dennis Ross,R
 Dennis Heck ,D
 Derek Kilmer ,D
 Devin Nunes ,R
 Diana DeGette ,D
 Diane Black ,R
 Dianne Feinstein ,D
 Dick Durbin ,D
 Dina Titus ,D
 Don Bacon ,R
 Don Beyer ,D
 Don Young ,R
 Donald McEachin ,D
 Donald Norcross ,D
 Donald Payne ,D
 Doris Matsui ,D
 Doug Collins ,R
 Doug LaMalfa ,R
 Doug Lamborn ,R
 Drew Ferguson ,R
 Duncan Hunter,R
 Dutch Ruppersberger ,D
 Dwight Evans ,D
 Earl Blumenauer ,D
 Ed Markey ,D
 Ed Perlmutter ,D
 Ed Royce ,R
 Eddie Bernice Johnson ,D
 Eleanor Holmes Norton ,D
 Elijah Cummings ,D
 Eliot Engel ,D
 Elise Stefanik ,R
 Elizabeth Esty ,D
 Elizabeth Warren ,D
 Emanuel Cleaver ,D
 Eric Swalwell ,D
 Erik Paulsen ,R
 Evan Jenkins ,R
 Filemon Vela,D
 Francis Rooney ,R
 Frank LoBiondo ,R
 Frank Lucas ,R
 Frank Pallone ,D
 Fred Upton ,R
 Frederica Wilson ,D
 French Hill ,R
 G. Butterfield,D
 Garret Graves ,R
 Gary Palmer ,R
 Gary Peters ,D
 Gene Green ,D
 George Holding ,R
 Gerry Connolly ,D
 Glenn Grothman ,R
 Glenn Thompson ,R
 Grace Meng ,D
 Grace Napolitano ,D
 Greg Walden ,R
 Gregg Harper ,R
 Gregorio Sablan ,I
 Gregory Meeks ,D
 Gus Bilirakis ,R
 Gwen Moore ,D
 Hakeem Jeffries ,D
 Hal Rogers ,R
 Hank Johnson ,D
 Heidi Heitkamp ,D
 Henry Cuellar ,D
 Ileana Ros-Lehtinen ,R
 Jack Bergman ,R
 Jack Reed ,D
 Jackie Speier ,D
 Jackie Walorski ,R
 Jacky Rosen ,D
 Jaime Herrera Beutler ,R
 James Comer ,R
 James Langevin ,D
 James Lankford ,R
 Jamie Raskin ,D
 Jan Schakowsky ,D
 Jared Huffman ,D
 Jared Polis ,D
 Jason Chaffetz ,R
 Jason Lewis ,R
 Jason Smith,R
 Jeanne Shaheen ,D
 Jeb Hensarling ,R
 Jeff Denham ,R
 Jeff Duncan ,R
 Jeff Flake ,R
 Jeff Fortenberry ,R
 Jeff Merkley ,D
 Jeff Sessions ,R
 Jenniffer González ,I
 Jerrold Nadler ,D
 Jerry McNerney ,D
 Jerry Moran ,R
 Jim Banks ,R
 Jim Bridenstine ,R
 Jim Clyburn ,D
 Jim Cooper ,D
 Jim Costa ,D
 Jim Himes ,D
