state,inPersonDeadline
Alabama,15
Alaska,30
Arizona,29
Arkansas,30
California,15
Colorado,0
Connecticut,7
Delaware,24
District of Columbia,0
Florida,29
Georgia,29
Hawaii,29
Idaho,0
Illinois,0
Indiana,29
Iowa,10
Kansas,21
Kentucky,29
Louisiana,30
Maine,0
Maryland,0
Massachusetts,20
Michigan,30
Minnesota,0
Mississippi,30
Missouri,27
Montana,0
Nebraska,11
Nevada,28
New Hampshire,0
New Jersey,21
New Mexico,28
New York,25
North Carolina,25
North Dakota,NA
Ohio,30
Oklahoma,25
Oregon,21
Pennsylvania,30
Rhode Island,30
South Carolina,30
South Dakota,15
Tennessee,20
Texas,30
Utah,7
Vermont,0
Virginia,22
Washington,0
West Virginia,21
Wisconsin,0
Wyoming,0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
